Date,Category,Cat_Detail,Cat_CaseCount,Cat_Percent,CAT_DEATHCOUNT,CAT_DEATHPERCENT
04-15-20,SEX,Female,3109,0.511433,,
04-15-20,SEX,Male,2809,0.462083,,
04-15-20,SEX,Pending,161,0.026485,,
04-16-20,RACE,White,3094,0.508965,,
04-16-20,RACE,Black or African American,1298,0.409722,,
04-16-20,RACE,Other/Multiracial,378,0.119318,,
04-16-20,RACE,Asian,104,0.032828,,
04-16-20,RACE,Pending,1388,0.438131,,
04-16-20,ETHNICITY,Not Hispanic or Latino,4062,0.648675,,
04-16-20,ETHNICITY,Hispanic,384,0.061322,,
04-16-20,ETHNICITY,Pending,1816,0.290003,,
04-16-20,SEX,Female,3209,0.512456,,
04-16-20,SEX,Male,2895,0.462312,,
04-16-20,SEX,Pending,158,0.025232,,
04-17-20,RACE,Other/ Multiracial,397,0.060404,,
04-17-20,RACE,White,3195,0.484899,,
04-17-20,RACE,Black or African American,1383,0.209895,,
04-17-20,RACE,Asian,114,0.017302,,
04-17-20,RACE,Pending,1500,0.2275,,
04-17-20,ETHNICITY,Not Hispanic or Latino,4222,0.640765,,
04-17-20,ETHNICITY,Hispanic,400,0.060707,,
04-17-20,ETHNICITY,Pending,1967,0.298528,,
04-17-20,SEX,Female,3369,0.511307,,
04-17-20,SEX,Male,3050,0.462893,,
04-17-20,SEX,Pending,170,0.025801,,
04-18-20,RACE,Other/ Multiracial,404,0.059746,2,0.01
04-18-20,RACE,White,3282,0.485359,87,0.6
04-18-20,RACE,Black or African American,1437,0.212511,46,0.32
04-18-20,RACE,Asian,123,0.01819,3,0.02
04-18-20,RACE,Pending,1516,0.224194,7,0.05
04-18-20,ETHNICITY,Not Hispanic or Latino,4358,0.644484,131,0.9
04-18-20,ETHNICITY,Hispanic,429,0.063443,6,0.04
04-18-20,ETHNICITY,Pending,1975,0.292073,8,0.06
04-18-20,SEX,Female,3442,0.509021,56,0.39
04-18-20,SEX,Male,3126,0.462289,87,0.6
04-18-20,SEX,Pending,194,0.02869,2,0.01
04-19-20,RACE,Other/ Multiracial,419,0.059264,2,0.01
04-19-20,RACE,White,3347,0.473409,88,0.59
04-19-20,RACE,Black or African American,1470,0.207921,47,0.32
04-19-20,RACE,Asian,130,0.018388,3,0.02
04-19-20,RACE,Pending,1704,0.241018,8,0.05
04-19-20,ETHNICITY,Not Hispanic or Latino,4456,0.630269,133,0.9
04-19-20,ETHNICITY,Hispanic,441,0.062376,6,0.04
04-19-20,ETHNICITY,Pending,2173,0.307355,9,0.06
04-19-20,SEX,Female,3586,0.507214,57,0.39
04-19-20,SEX,Male,3258,0.46082,89,0.6
04-19-20,SEX,Pending,226,0.031966,2,0.01
04-20-20,RACE,Other/ Multiracial,432,0.059685,2,0.01
04-20-20,RACE,White,3406,0.470572,90,0.59
04-20-20,RACE,Black or African American,1512,0.208897,48,0.32
04-20-20,RACE,Asian,138,0.019066,4,0.03
04-20-20,RACE,Pending,1750,0.241779,8,0.05
04-20-20,ETHNICITY,Not Hispanic or Latino,4548,0.62835,136,0.89
04-20-20,ETHNICITY,Hispanic,467,0.064521,6,0.04
04-20-20,ETHNICITY,Pending,2223,0.307129,10,0.07
04-20-20,SEX,Female,3644,0.503454,59,0.39
04-20-20,SEX,Male,3364,0.464769,92,0.61
04-20-20,SEX,Pending,230,0.031777,1,0.01
04-21-20,RACE,Other/ Multiracial,456,0.061672,2,0.01
04-21-20,RACE,White,3535,0.47809,92,0.59
04-21-20,RACE,Black or African American,1582,0.213957,50,0.32
04-21-20,RACE,Asian,151,0.020422,4,0.03
04-21-20,RACE,Pending,1670,0.225859,9,0.06
04-21-20,ETHNICITY,Not Hispanic or Latino,4732,0.639978,141,0.9
04-21-20,ETHNICITY,Hispanic,527,0.071274,6,0.04
04-21-20,ETHNICITY,Pending,2135,0.288748,10,0.06
04-21-20,SEX,Female,3729,0.504328,60,0.38
04-21-20,SEX,Male,3454,0.467136,95,0.61
04-21-20,SEX,Pending,211,0.028537,2,0.01
04-22-20,RACE,Other/ Multiracial,489,0.062484,2,0.01
04-22-20,RACE,White,3637,0.463785,96,0.58
04-22-20,RACE,Black or African American,1620,0.20658,56,0.34
04-22-20,RACE,Asian,168,0.021423,4,0.02
04-22-20,RACE,Pending,1928,0.245728,8,0.05
04-22-20,ETHNICITY,Not Hispanic or Latino,4874,0.621525,150,0.9
04-22-20,ETHNICITY,Hispanic,580,0.073961,7,0.04
04-22-20,ETHNICITY,Pending,2388,0.304514,9,0.05
04-22-20,SEX,Female,3880,0.494772,64,0.39
04-22-20,SEX,Male,3696,0.471308,100,0.6
04-22-20,SEX,Pending,266,0.033920,2,0.01
04-23-20,RACE,White,3718,0.449794,98,0.58
04-23-20,RACE,Black or African American,1669,0.201911,57,0.34
04-23-20,RACE,Other/Multiracial,515,0.062303,2,0.01
04-23-20,RACE,Asian,176,0.021292,4,0.02
04-23-20,RACE,Pending,2188,0.264699,9,0.05
04-23-20,ETHNICITY,Not Hispanic or Latino,4996,0.604404,153,0.9
04-23-20,ETHNICITY,Hispanic,622,0.075248,7,0.04
04-23-20,ETHNICITY,Pending,2648,0.320348,10,0.06
04-23-20,SEX,Female,3950,0.477861,66,0.39
04-23-20,SEX,Male,4055,0.490564,102,0.6
04-23-20,SEX,Pending,261,0.031575,2,0.01
04-24-20,RACE,White,3803,0.435824,103,0.61
04-24-20,RACE,Black or African American,1705,0.195393,55,0.33
04-24-20,RACE,Other/Multiracial,531,0.060853,1,0.01
04-24-20,RACE,Asian,183,0.020972,4,0.02
04-24-20,RACE,Pending,2504,0.286959,5,0.03
04-24-20,ETHNICITY,Not Hispanic or Latino,5129,0.587784,159,0.95
04-24-20,ETHNICITY,Hispanic,652,0.074719,4,0.02
04-24-20,ETHNICITY,Pending,2945,0.337497,5,0.03
04-24-20,SEX,Female,4059,0.465162,66,0.39
04-24-20,SEX,Male,4412,0.505615,102,0.61
04-24-20,SEX,Pending,255,0.029223,0,0
04-25-20,RACE,White,3912,0.425726,111,0.62
04-25-20,RACE,Black or African American,1773,0.192948,55,0.31
04-25-20,RACE,Other/Multiracial,564,0.061378,2,0.01
04-25-20,RACE,Asian,189,0.020568,4,0.02
04-25-20,RACE,Pending,2751,0.29938,6,0.03
04-25-20,ETHNICITY,Not Hispanic or Latino,5288,0.575471,166,0.93
04-25-20,ETHNICITY,Hispanic,701,0.076287,5,0.03
04-25-20,ETHNICITY,Pending,3200,0.348242,7,0.04
04-25-20,SEX,Female,4272,0.464904,71,0.4
04-25-20,SEX,Male,4633,0.50419,107,0.6
04-25-20,SEX,Pending,284,0.030907,0,0
04-26-20,RACE,White,4028,0.416675,111,0.61
04-26-20,RACE,Black or African American,1930,0.199648,57,0.31
04-26-20,RACE,Other/Multiracial,588,0.060825,3,0.02
04-26-20,RACE,Asian,193,0.019965,4,0.02
04-26-20,RACE,Pending,2928,0.302886,6,0.03
04-26-20,ETHNICITY,Not Hispanic or Latino,5513,0.570291,169,0.93
04-26-20,ETHNICITY,Hispanic,731,0.075618,5,0.03
04-26-20,ETHNICITY,Pending,3423,0.354091,7,0.04
04-26-20,SEX,Female,4436,0.458881,71,0.39
04-26-20,SEX,Male,4928,0.509776,110,0.61
04-26-20,SEX,Pending,303,0.031344,0,0
04-27-20,RACE,White,4108,0.414196,112,0.608
04-27-20,RACE,Black or African American,1983,0.19994,57,0.309
04-27-20,RACE,Other/Multiracial,609,0.061404,3,0.016
04-27-20,RACE,Asian,203,0.020468,5,0.027
04-27-20,RACE,Pending,3015,0.303993,7,0.038
04-27-20,ETHNICITY,Not Hispanic or Latino,5661,0.57078,170,0.923
04-27-20,ETHNICITY,Hispanic,754,0.076023,5,0.027
04-27-20,ETHNICITY,Pending,3503,0.353196,9,0.048
04-27-20,SEX,Female,4568,0.460577,72,0.391
04-27-20,SEX,Male,5033,0.507461,112,0.608
04-27-20,SEX,Pending,317,0.031962,0,0
04-28-20,RACE,White,4257,0.423498,114,0.606
04-28-20,RACE,Black or African American,2059,0.204835,57,0.303
04-28-20,RACE,Other/Multiracial,645,0.064166,3,0.015
04-28-20,RACE,Asian,223,0.022185,5,0.026
04-28-20,RACE,Pending,2868,0.285316,9,0.047
04-28-20,ETHNICITY,Not Hispanic or Latino,5904,0.587346,174,0.925
04-28-20,ETHNICITY,Hispanic,830,0.082571,5,0.026
04-28-20,ETHNICITY,Pending,3318,0.330084,9,0.047
04-28-20,SEX,Female,4639,0.4615,74,0.393
04-28-20,SEX,Male,5119,0.509252,114,0.606
04-28-20,SEX,Pending,294,0.029248,0,0
04-29-20,RACE,White,4427,0.427069,120,0.615
04-29-20,RACE,Black or African American,2154,0.207795,57,0.292
04-29-20,RACE,Other/Multiracial,688,0.066371,5,0.025
04-29-20,RACE,Asian,239,0.023056,5,0.025
04-29-20,RACE,Pending,2858,0.275709,8,0.041
04-29-20,ETHNICITY,Not Hispanic or Latino,6153,0.593575,180,0.923
04-29-20,ETHNICITY,Hispanic,899,0.086726,5,0.025
04-29-20,ETHNICITY,Pending,3314,0.319699,10,0.051
04-29-20,SEX,Female,4763,0.459483,80,0.41
04-29-20,SEX,Male,5318,0.513023,115,0.589
04-29-20,SEX,Pending,285,0.027494,0,0
04-30-20,RACE,White,4597,0.428225,126,0.633
04-30-20,RACE,Black or African American,2233,0.208011,60,0.301
04-30-20,RACE,Other/Multiracial,719,0.066977,5,0.025
04-30-20,RACE,Asian,259,0.024127,6,0.03
04-30-20,RACE,Pending,2927,0.27266,2,0.01
04-30-20,ETHNICITY,Not Hispanic or Latino,6390,0.595249,190,0.954
04-30-20,ETHNICITY,Hispanic,977,0.091011,6,0.03
04-30-20,ETHNICITY,Pending,3368,0.31374,3,0.015
04-30-20,SEX,Female,4916,0.457941,81,0.407
04-30-20,SEX,Male,5508,0.513088,118,0.592
04-30-20,SEX,Pending,311,0.028971,0,0
05-01-20,RACE,White,4937,0.415188,129,0.632
05-01-20,RACE,Black or African American,2447,0.205786,62,0.303
05-01-20,RACE,Other/Multiracial,761,0.063998,5,0.024
05-01-20,RACE,Asian,274,0.023043,6,0.029
05-01-20,RACE,Pending,3472,0.291986,2,0.009
05-01-20,ETHNICITY,Not Hispanic or Latino,6603,0.555294,195,0.955
05-01-20,ETHNICITY,Hispanic,1066,0.089648,6,0.029
05-01-20,ETHNICITY,Pending,4222,0.355058,3,0.014
05-01-20,SEX,Female,5047,0.424439,84,0.411
05-01-20,SEX,Male,6104,0.513329,120,0.588
05-01-20,SEX,Pending,740,0.062232,0,0
05-02-20,RACE,White,5129,0.405102,131,0.626
05-02-20,RACE,Black or African American,2578,0.203617,65,0.311
05-02-20,RACE,Other/Multiracial,799,0.063107,5,0.023
05-02-20,RACE,Asian,294,0.023221,6,0.028
05-02-20,RACE,Pending,3861,0.304952,2,0.009
05-02-20,ETHNICITY,Not Hispanic or Latino,6782,0.535661,200,0.956
05-02-20,ETHNICITY,Hispanic,1131,0.089329,6,0.028
05-02-20,ETHNICITY,Pending,4748,0.37501,3,0.014
05-02-20,SEX,Female,5271,0.416318,86,0.411
05-02-20,SEX,Male,6584,0.520022,123,0.588
05-02-20,SEX,Pending,806,0.063660,0,0
05-03-20,RACE,White,5227,0.396676,132,0.628
05-03-20,RACE,Black or African American,2630,0.19959,65,0.309
05-03-20,RACE,Other/Multiracial,840,0.063747,5,0.023
05-03-20,RACE,Asian,295,0.022387,6,0.028
05-03-20,RACE,Pending,4185,0.317599,2,0.009
05-03-20,ETHNICITY,Not Hispanic or Latino,6917,0.52493,200,0.952
05-03-20,ETHNICITY,Hispanic,1184,0.089854,7,0.033
05-03-20,ETHNICITY,Pending,5076,0.385217,3,0.014
05-03-20,SEX,Female,5473,0.415345,86,0.409
05-03-20,SEX,Male,6885,0.522501,124,0.59
05-03-20,SEX,Pending,819,0.062154,0,0
05-04-20,RACE,White,5358,0.394812,136,0.621
05-04-20,RACE,Black or African American,2670,0.196743,67,0.305
05-04-20,RACE,Other/Multiracial,876,0.064549,5,0.022
05-04-20,RACE,Asian,297,0.021885,6,0.027
05-04-20,RACE,Pending,4370,0.32201,5,0.022
05-04-20,ETHNICITY,Not Hispanic or Latino,7076,0.521406,204,0.931
05-04-20,ETHNICITY,Hispanic,1217,0.089677,8,0.036
05-04-20,ETHNICITY,Pending,5278,0.388918,7,0.031
05-04-20,SEX,Female,5689,0.419203,90,0.41
05-04-20,SEX,Male,7063,0.520448,129,0.589
05-04-20,SEX,Pending,819,0.060349,0,0
05-05-20,RACE,White,5507,0.402264,139,0.615044
05-05-20,RACE,Black or African American,2770,0.202337,68,0.300885
05-05-20,RACE,Other/Multiracial,906,0.066180,5,0.022124
05-05-20,RACE,Asian,311,0.022717,6,0.026549
05-05-20,RACE,Pending,4196,0.306501,8,0.035398
05-05-20,ETHNICITY,Not Hispanic or Latino,7268,0.530898,208,0.920354
05-05-20,ETHNICITY,Hispanic,1299,0.094887,8,0.035398
05-05-20,ETHNICITY,Pending,5123,0.374215,10,0.044248
05-05-20,SEX,Female,5751,0.420088,91,0.402655
05-05-20,SEX,Male,7138,0.521402,135,0.597345
05-05-20,SEX,Pending,801,0.058510,0,0
