Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
04/13/2020,Steuben,24,147,90,819
04/13/2020,Suffolk,819,22462,2246,52376
04/13/2020,Sullivan,35,415,133,2052
04/13/2020,Tioga,4,24,52,359
04/13/2020,Tompkins,2,112,104,2457
04/13/2020,Ulster,60,690,424,4290
04/13/2020,Warren,29,77,67,724
04/13/2020,Washington,3,40,36,482
04/13/2020,Wayne,6,48,39,663
04/13/2020,Westchester,405,20191,1145,60607
04/13/2020,Wyoming,1,32,21,268
04/13/2020,Yates,2,6,5,118
04/12/2020,Albany,21,499,193,5540
04/12/2020,Allegany,0,26,5,280
04/12/2020,Bronx,764,22205,1623,43198
04/12/2020,Broome,7,133,39,948
04/12/2020,Cattaraugus,0,28,6,370
04/12/2020,Cayuga,1,30,5,515
04/12/2020,Chautauqua,1,23,25,497
04/12/2020,Chemung,0,60,9,742
04/12/2020,Chenango,2,65,17,361
04/12/2020,Clinton,1,44,9,420
04/12/2020,Columbia,1,80,27,673
04/12/2020,Cortland,2,20,18,723
04/12/2020,Delaware,3,42,14,330
04/12/2020,Dutchess,43,1881,499,7776
04/12/2020,Erie,53,1624,182,6729
04/12/2020,Essex,0,12,5,155
04/12/2020,Franklin,0,12,6,199
04/12/2020,Fulton,0,21,7,309
04/12/2020,Genesee,2,71,7,484
04/12/2020,Greene,1,45,14,451
04/12/2020,Hamilton,0,3,1,20
04/12/2020,Herkimer,1,38,29,364
04/12/2020,Jefferson,0,46,24,1023
04/12/2020,Kings,933,28404,2029,55190
04/12/2020,Lewis,0,6,3,169
04/12/2020,Livingston,0,30,5,337
04/12/2020,Madison,0,101,7,703
04/12/2020,Monroe,25,823,157,7294
04/12/2020,Montgomery,0,29,2,275
04/12/2020,Nassau,805,24358,2072,54024
04/12/2020,New York,356,14501,1033,35243
04/12/2020,Niagara,6,189,29,925
04/12/2020,Oneida,11,206,61,1388
04/12/2020,Onondaga,19,416,142,5887
04/12/2020,Ontario,0,57,12,718
04/12/2020,Orange,155,5182,492,14978
04/12/2020,Orleans,1,26,6,264
04/12/2020,Oswego,0,38,10,828
04/12/2020,Otsego,0,43,35,565
04/12/2020,Putnam,5,502,8,1861
04/12/2020,Queens,1150,33985,2481,61415
04/12/2020,Rensselaer,8,113,61,1732
04/12/2020,Richmond,352,7668,887,17405
04/12/2020,Rockland,244,7965,586,18134
04/12/2020,Saratoga,5,201,61,2640
04/12/2020,Schenectady,5,204,27,1825
04/12/2020,Schoharie,0,12,4,234
04/12/2020,Schuyler,0,5,1,153
04/12/2020,Seneca,0,16,1,200
04/12/2020,St. Lawrence,4,89,47,1010
04/12/2020,Steuben,2,123,10,729
04/12/2020,Suffolk,827,21643,2164,50130
04/12/2020,Sullivan,22,380,73,1919
04/12/2020,Tioga,1,20,3,307
04/12/2020,Tompkins,1,110,31,2353
04/12/2020,Ulster,18,630,242,3866
04/12/2020,Warren,2,48,18,657
04/12/2020,Washington,3,37,15,446
04/12/2020,Wayne,0,42,8,624
04/12/2020,Westchester,473,19786,1163,59462
04/12/2020,Wyoming,0,31,2,247
04/12/2020,Yates,1,4,4,113
04/11/2020,Albany,32,478,223,5347
04/11/2020,Allegany,0,26,11,275
04/11/2020,Bronx,964,21441,2081,41575
04/11/2020,Broome,9,126,60,909
04/11/2020,Cattaraugus,9,28,32,364
04/11/2020,Cayuga,1,29,8,510
04/11/2020,Chautauqua,1,22,39,472
04/11/2020,Chemung,0,60,6,733
04/11/2020,Chenango,2,63,12,344
04/11/2020,Clinton,0,43,25,411
04/11/2020,Columbia,2,79,35,646
04/11/2020,Cortland,1,18,18,705
04/11/2020,Delaware,0,39,10,316
04/11/2020,Dutchess,94,1838,431,7277
04/11/2020,Erie,99,1571,317,6547
04/11/2020,Essex,0,12,12,150
04/11/2020,Franklin,1,12,8,193
04/11/2020,Fulton,0,21,11,302
04/11/2020,Genesee,2,69,19,477
04/11/2020,Greene,7,44,40,437
04/11/2020,Hamilton,0,3,0,19
04/11/2020,Herkimer,0,37,11,335
04/11/2020,Jefferson,2,46,47,999
04/11/2020,Kings,1228,27471,2670,53161
04/11/2020,Lewis,0,6,6,166
04/11/2020,Livingston,0,30,6,332
04/11/2020,Madison,2,101,9,696
04/11/2020,Monroe,31,798,220,7137
04/11/2020,Montgomery,0,29,1,273
04/11/2020,Nassau,969,23553,2307,51952
04/11/2020,New York,708,14145,1783,34210
04/11/2020,Niagara,16,183,62,896
04/11/2020,Oneida,14,195,83,1327
04/11/2020,Onondaga,17,397,169,5745
04/11/2020,Ontario,1,57,27,706
04/11/2020,Orange,180,5027,563,14486
04/11/2020,Orleans,1,25,7,258
04/11/2020,Oswego,1,38,15,818
04/11/2020,Otsego,0,43,15,530
04/11/2020,Putnam,3,497,12,1853
04/11/2020,Queens,1544,32835,3219,58934
04/11/2020,Rensselaer,9,105,65,1671
04/11/2020,Richmond,456,7316,1030,16518
04/11/2020,Rockland,244,7721,569,17548
04/11/2020,Saratoga,9,196,88,2579
04/11/2020,Schenectady,5,199,27,1798
04/11/2020,Schoharie,0,12,2,230
04/11/2020,Schuyler,0,5,1,152
04/11/2020,Seneca,0,16,3,199
04/11/2020,St. Lawrence,5,85,65,963
04/11/2020,Steuben,2,121,12,719
04/11/2020,Suffolk,933,20816,2215,47966
04/11/2020,Sullivan,18,358,65,1846
04/11/2020,Tioga,0,19,8,304
04/11/2020,Tompkins,1,109,77,2322
04/11/2020,Ulster,23,612,239,3624
04/11/2020,Warren,2,46,20,639
04/11/2020,Washington,3,34,18,431
04/11/2020,Wayne,0,42,7,616
04/11/2020,Westchester,584,19313,1472,58299
04/11/2020,Wyoming,0,31,2,245
04/11/2020,Yates,1,3,6,109
04/10/2020,Albany,20,446,159,5124
04/10/2020,Allegany,0,26,16,264
04/10/2020,Bronx,1317,20477,2580,39494
04/10/2020,Broome,5,117,31,849
04/10/2020,Cattaraugus,1,19,7,332
04/10/2020,Cayuga,1,28,5,502
04/10/2020,Chautauqua,1,21,67,433
04/10/2020,Chemung,1,60,26,727
04/10/2020,Chenango,1,61,17,332
04/10/2020,Clinton,0,43,23,386
04/10/2020,Columbia,3,77,30,611
04/10/2020,Cortland,0,17,20,687
04/10/2020,Delaware,0,39,17,306
04/10/2020,Dutchess,146,1744,584,6846
04/10/2020,Erie,63,1472,297,6230
04/10/2020,Essex,2,12,4,138
04/10/2020,Franklin,0,11,5,185
04/10/2020,Fulton,3,21,17,291
04/10/2020,Genesee,2,67,18,458
04/10/2020,Greene,3,37,27,397
04/10/2020,Hamilton,0,3,1,19
04/10/2020,Herkimer,1,37,12,324
04/10/2020,Jefferson,1,44,43,952
04/10/2020,Kings,1528,26243,2887,50491
04/10/2020,Lewis,0,6,0,160
04/10/2020,Livingston,1,30,7,326
04/10/2020,Madison,0,99,7,687
04/10/2020,Monroe,25,767,284,6917
04/10/2020,Montgomery,0,29,8,272
04/10/2020,Nassau,1072,22584,2527,49645
04/10/2020,New York,715,13437,1685,32427
04/10/2020,Niagara,11,167,46,834
04/10/2020,Oneida,9,181,42,1244
04/10/2020,Onondaga,11,380,116,5576
04/10/2020,Ontario,5,56,39,679
04/10/2020,Orange,315,4847,879,13923
04/10/2020,Orleans,0,24,3,251
04/10/2020,Oswego,1,37,12,803
04/10/2020,Otsego,2,43,34,515
04/10/2020,Putnam,7,494,18,1841
04/10/2020,Queens,1988,31291,3803,55715
04/10/2020,Rensselaer,5,96,40,1606
04/10/2020,Richmond,376,6860,807,15488
04/10/2020,Rockland,355,7477,785,16979
04/10/2020,Saratoga,5,187,68,2491
04/10/2020,Schenectady,3,194,24,1771
04/10/2020,Schoharie,0,12,5,228
04/10/2020,Schuyler,0,5,7,151
04/10/2020,Seneca,1,16,5,196
04/10/2020,St. Lawrence,2,80,19,898
04/10/2020,Steuben,2,119,28,707
04/10/2020,Suffolk,1191,19883,2556,45751
04/10/2020,Sullivan,22,340,99,1781
04/10/2020,Tioga,1,19,10,296
04/10/2020,Tompkins,3,108,135,2245
04/10/2020,Ulster,59,589,358,3385
04/10/2020,Warren,1,44,17,619
04/10/2020,Washington,5,31,16,413
04/10/2020,Wayne,1,42,17,609
04/10/2020,Westchester,652,18729,1679,56827
04/10/2020,Wyoming,1,31,12,243
04/10/2020,Yates,0,2,5,103
04/09/2020,Albany,47,426,332,4965
04/09/2020,Allegany,4,26,21,248
04/09/2020,Bronx,1368,19160,2637,36914
04/09/2020,Broome,7,112,58,818
04/09/2020,Cattaraugus,1,18,26,325
04/09/2020,Cayuga,11,27,31,497
04/09/2020,Chautauqua,2,20,54,366
04/09/2020,Chemung,0,59,39,701
04/09/2020,Chenango,5,60,29,315
04/09/2020,Clinton,3,43,17,363
04/09/2020,Columbia,4,74,55,581
04/09/2020,Cortland,1,17,25,667
04/09/2020,Delaware,2,39,20,289
04/09/2020,Dutchess,105,1598,509,6262
04/09/2020,Erie,47,1409,309,5933
04/09/2020,Essex,2,10,13,134
04/09/2020,Franklin,0,11,6,180
04/09/2020,Fulton,3,18,24,274
04/09/2020,Genesee,9,65,32,440
04/09/2020,Greene,6,34,36,370
04/09/2020,Hamilton,0,3,0,18
04/09/2020,Herkimer,4,36,23,312
04/09/2020,Jefferson,1,43,52,909
04/09/2020,Kings,1321,24715,2578,47604
04/09/2020,Lewis,0,6,23,160
04/09/2020,Livingston,3,29,26,319
04/09/2020,Madison,8,99,54,680
04/09/2020,Monroe,44,742,380,6633
04/09/2020,Montgomery,1,29,13,264
04/09/2020,Nassau,1372,21512,3021,47118
04/09/2020,New York,616,12722,1659,30742
04/09/2020,Niagara,10,156,79,788
04/09/2020,Oneida,14,172,85,1202
04/09/2020,Onondaga,11,369,148,5460
04/09/2020,Ontario,8,51,50,640
04/09/2020,Orange,442,4532,1335,13044
04/09/2020,Orleans,2,24,14,248
04/09/2020,Oswego,0,36,32,791
04/09/2020,Otsego,2,41,40,481
04/09/2020,Putnam,49,487,169,1823
04/09/2020,Queens,1551,29303,2941,51912
04/09/2020,Rensselaer,12,91,101,1566
04/09/2020,Richmond,500,6484,1212,14681
04/09/2020,Rockland,457,7122,1013,16194
04/09/2020,Saratoga,10,182,154,2423
04/09/2020,Schenectady,24,191,183,1747
04/09/2020,Schoharie,0,12,16,223
04/09/2020,Schuyler,1,5,4,144
04/09/2020,Seneca,0,15,8,191
04/09/2020,St. Lawrence,2,78,24,879
04/09/2020,Steuben,28,117,97,679
04/09/2020,Suffolk,1279,18692,2942,43195
04/09/2020,Sullivan,24,318,115,1682
04/09/2020,Tioga,1,18,16,286
04/09/2020,Tompkins,0,105,24,2110
04/09/2020,Ulster,70,530,436,3027
04/09/2020,Warren,3,43,21,602
04/09/2020,Washington,1,26,14,397
04/09/2020,Wayne,2,41,34,592
04/09/2020,Westchester,1073,18077,2911,55148
04/09/2020,Wyoming,1,30,13,231
04/09/2020,Yates,1,2,3,98
04/08/2020,Albany,37,379,229,4633
04/08/2020,Allegany,1,22,12,227
04/08/2020,Bronx,1166,17792,2348,34277
04/08/2020,Broome,17,105,82,760
04/08/2020,Cattaraugus,2,17,15,299
04/08/2020,Cayuga,2,16,37,466
04/08/2020,Chautauqua,1,18,32,312
04/08/2020,Chemung,4,59,38,662
04/08/2020,Chenango,2,55,21,286
04/08/2020,Clinton,1,40,25,346
04/08/2020,Columbia,7,70,27,526
04/08/2020,Cortland,0,16,41,642
04/08/2020,Delaware,0,37,22,269
04/08/2020,Dutchess,98,1493,512,5753
04/08/2020,Erie,157,1362,458,5624
04/08/2020,Essex,1,8,6,121
04/08/2020,Franklin,1,11,5,174
04/08/2020,Fulton,1,15,21,250
04/08/2020,Genesee,9,56,43,408
04/08/2020,Greene,3,28,29,334
04/08/2020,Hamilton,1,3,1,18
04/08/2020,Herkimer,3,32,44,289
04/08/2020,Jefferson,2,42,84,857
04/08/2020,Kings,1312,23394,2565,45026
04/08/2020,Lewis,0,6,8,137
04/08/2020,Livingston,1,26,17,293
04/08/2020,Madison,1,91,12,626
04/08/2020,Monroe,47,698,382,6253
04/08/2020,Montgomery,10,28,24,251
04/08/2020,Nassau,1592,20140,3598,44097
04/08/2020,New York,602,12106,1424,29083
04/08/2020,Niagara,12,146,53,709
04/08/2020,Oneida,33,158,104,1117
04/08/2020,Onondaga,11,358,245,5312
04/08/2020,Ontario,4,43,38,590
04/08/2020,Orange,225,4090,578,11709
04/08/2020,Orleans,6,22,27,234
04/08/2020,Oswego,3,36,61,759
04/08/2020,Otsego,1,39,42,441
04/08/2020,Putnam,35,438,158,1654
04/08/2020,Queens,1504,27752,2831,48971
04/08/2020,Rensselaer,4,79,52,1465
04/08/2020,Richmond,641,5984,1528,13469
04/08/2020,Rockland,252,6665,648,15181
04/08/2020,Saratoga,10,172,113,2269
04/08/2020,Schenectady,18,167,104,1564
04/08/2020,Schoharie,0,12,8,207
04/08/2020,Schuyler,0,4,20,140
04/08/2020,Seneca,3,15,20,183
04/08/2020,St. Lawrence,7,76,50,855
04/08/2020,Steuben,7,89,50,582
04/08/2020,Suffolk,1569,17413,3889,40253
04/08/2020,Sullivan,15,294,60,1567
04/08/2020,Tioga,5,17,32,270
04/08/2020,Tompkins,6,105,299,2086
04/08/2020,Ulster,38,460,227,2591
04/08/2020,Warren,7,40,31,581
04/08/2020,Washington,5,25,24,383
04/08/2020,Wayne,0,39,34,558
04/08/2020,Westchester,1117,17004,2889,52237
04/08/2020,Wyoming,2,29,12,218
04/08/2020,Yates,0,1,7,95
04/07/2020,Albany,9,342,74,4404
04/07/2020,Allegany,4,21,16,215
04/07/2020,Bronx,1278,16626,2562,31929
04/07/2020,Broome,2,88,24,678
04/07/2020,Cattaraugus,2,15,19,284
04/07/2020,Cayuga,0,14,11,429
04/07/2020,Chautauqua,1,17,6,280
04/07/2020,Chemung,6,55,56,624
04/07/2020,Chenango,2,53,11,265
04/07/2020,Clinton,2,39,25,321
04/07/2020,Columbia,2,63,8,499
04/07/2020,Cortland,0,16,18,601
04/07/2020,Delaware,1,37,16,247
04/07/2020,Dutchess,146,1395,462,5241
04/07/2020,Erie,70,1205,295,5166
04/07/2020,Essex,0,7,4,115
04/07/2020,Franklin,0,10,7,169
04/07/2020,Fulton,1,14,6,229
04/07/2020,Genesee,14,47,31,365
04/07/2020,Greene,1,25,6,305
04/07/2020,Hamilton,0,2,0,17
04/07/2020,Herkimer,2,29,19,245
04/07/2020,Jefferson,1,40,25,773
04/07/2020,Kings,1203,22082,2607,42461
04/07/2020,Lewis,0,6,6,129
04/07/2020,Livingston,2,25,23,276
04/07/2020,Madison,2,90,43,614
04/07/2020,Monroe,55,651,420,5871
04/07/2020,Montgomery,0,18,9,227
04/07/2020,Nassau,1938,18548,4179,40499
04/07/2020,New York,492,11504,1257,27659
04/07/2020,Niagara,8,134,39,656
04/07/2020,Oneida,7,125,59,1013
04/07/2020,Onondaga,12,347,126,5067
04/07/2020,Ontario,6,39,50,552
04/07/2020,Orange,266,3865,711,11131
04/07/2020,Orleans,1,16,14,207
04/07/2020,Oswego,2,33,27,698
04/07/2020,Otsego,4,38,31,399
04/07/2020,Putnam,37,403,115,1496
04/07/2020,Queens,1408,26248,2884,46140
04/07/2020,Rensselaer,8,75,53,1413
04/07/2020,Richmond,546,5343,1262,11941
04/07/2020,Rockland,423,6413,1027,14533
04/07/2020,Saratoga,7,162,73,2156
04/07/2020,Schenectady,4,149,23,1460
04/07/2020,Schoharie,0,12,20,199
04/07/2020,Schuyler,0,4,12,120
04/07/2020,Seneca,2,12,14,163
04/07/2020,St. Lawrence,9,69,69,805
04/07/2020,Steuben,7,82,67,532
04/07/2020,Suffolk,1327,15844,3139,36364
04/07/2020,Sullivan,9,279,56,1507
04/07/2020,Tioga,4,12,29,238
04/07/2020,Tompkins,2,99,85,1787
04/07/2020,Ulster,24,422,108,2364
04/07/2020,Warren,2,33,14,550
04/07/2020,Washington,1,20,27,359
04/07/2020,Wayne,4,39,46,524
04/07/2020,Westchester,1083,15887,2647,49348
04/07/2020,Wyoming,4,27,18,206
04/07/2020,Yates,0,1,5,88
04/06/2020,Albany,14,333,86,4330
04/06/2020,Allegany,0,17,3,199
04/06/2020,Bronx,1021,15348,1996,29367
04/06/2020,Broome,10,86,47,654
04/06/2020,Cattaraugus,1,13,14,265
04/06/2020,Cayuga,3,14,33,418
04/06/2020,Chautauqua,1,16,37,274
04/06/2020,Chemung,2,49,22,568
04/06/2020,Chenango,5,51,42,254
04/06/2020,Clinton,1,37,16,296
04/06/2020,Columbia,2,61,15,491
04/06/2020,Cortland,3,16,25,583
04/06/2020,Delaware,7,36,30,231
04/06/2020,Dutchess,60,1249,335,4779
04/06/2020,Erie,112,1135,396,4871
04/06/2020,Essex,0,7,5,111
04/06/2020,Franklin,0,10,5,162
04/06/2020,Fulton,2,13,18,223
04/06/2020,Genesee,10,33,37,334
04/06/2020,Greene,0,24,13,299
04/06/2020,Hamilton,0,2,0,17
04/06/2020,Herkimer,2,27,19,226
04/06/2020,Jefferson,6,39,63,748
04/06/2020,Kings,1177,20879,2245,39854
04/06/2020,Lewis,0,6,11,123
04/06/2020,Livingston,1,23,18,253
04/06/2020,Madison,6,88,64,571
04/06/2020,Monroe,22,596,305,5451
04/06/2020,Montgomery,3,18,20,218
04/06/2020,Nassau,994,16610,2097,36320
04/06/2020,New York,572,11012,1249,26402
04/06/2020,Niagara,6,126,44,617
04/06/2020,Oneida,18,118,90,954
04/06/2020,Onondaga,64,335,689,4941
04/06/2020,Ontario,1,33,32,502
04/06/2020,Orange,202,3599,604,10420
04/06/2020,Orleans,2,15,17,193
04/06/2020,Oswego,2,31,70,671
04/06/2020,Otsego,0,34,43,368
04/06/2020,Putnam,21,366,72,1381
04/06/2020,Queens,1707,24840,2864,43256
04/06/2020,Rensselaer,5,67,30,1360
04/06/2020,Richmond,218,4797,605,10679
04/06/2020,Rockland,287,5990,662,13506
04/06/2020,Saratoga,2,155,40,2083
04/06/2020,Schenectady,7,145,35,1437
04/06/2020,Schoharie,1,12,19,179
04/06/2020,Schuyler,0,4,4,108
04/06/2020,Seneca,1,10,8,149
04/06/2020,St. Lawrence,1,60,64,736
04/06/2020,Steuben,0,75,22,465
04/06/2020,Suffolk,1030,14517,2323,33225
04/06/2020,Sullivan,17,270,77,1451
04/06/2020,Tioga,0,8,10,209
04/06/2020,Tompkins,3,97,23,1702
04/06/2020,Ulster,26,398,117,2256
04/06/2020,Warren,5,31,15,536
04/06/2020,Washington,0,19,13,332
04/06/2020,Wayne,1,35,31,478
04/06/2020,Westchester,510,14804,1348,46701
04/06/2020,Wyoming,0,23,7,188
04/06/2020,Yates,0,1,3,83
04/05/2020,Albany,14,319,89,4244
04/05/2020,Allegany,1,17,8,196
04/05/2020,Bronx,959,14327,1628,27371
04/05/2020,Broome,5,76,33,607
04/05/2020,Cattaraugus,2,12,16,251
04/05/2020,Cayuga,3,11,31,385
04/05/2020,Chautauqua,4,15,50,237
04/05/2020,Chemung,9,47,50,546
04/05/2020,Chenango,3,46,27,212
04/05/2020,Clinton,3,36,14,280
04/05/2020,Columbia,8,59,23,476
04/05/2020,Cortland,3,13,42,558
04/05/2020,Delaware,2,29,28,201
04/05/2020,Dutchess,112,1189,338,4444
04/05/2020,Erie,105,1023,549,4475
04/05/2020,Essex,0,7,4,106
04/05/2020,Franklin,0,10,5,157
04/05/2020,Fulton,2,11,20,205
04/05/2020,Genesee,1,23,11,297
04/05/2020,Greene,0,24,12,286
04/05/2020,Hamilton,0,2,0,17
04/05/2020,Herkimer,3,25,23,207
04/05/2020,Jefferson,7,33,98,685
04/05/2020,Kings,1144,19702,2013,37609
04/05/2020,Lewis,3,6,11,112
04/05/2020,Livingston,3,22,14,235
04/05/2020,Madison,3,82,13,507
04/05/2020,Monroe,26,574,225,5146
04/05/2020,Montgomery,0,15,8,198
04/05/2020,Nassau,1218,15616,2363,34223
04/05/2020,New York,542,10440,1162,25153
04/05/2020,Niagara,4,120,44,573
04/05/2020,Oneida,13,100,87,864
04/05/2020,Onondaga,3,271,89,4252
04/05/2020,Ontario,0,32,26,470
04/05/2020,Orange,295,3397,827,9816
04/05/2020,Orleans,2,13,16,176
04/05/2020,Oswego,1,29,39,601
04/05/2020,Otsego,5,34,41,325
04/05/2020,Putnam,31,345,122,1309
04/05/2020,Queens,1697,23133,2730,40392
04/05/2020,Rensselaer,2,62,29,1330
04/05/2020,Richmond,288,4579,600,10074
04/05/2020,Rockland,377,5703,732,12844
04/05/2020,Saratoga,5,153,34,2043
04/05/2020,Schenectady,10,138,64,1402
04/05/2020,Schoharie,0,11,17,160
04/05/2020,Schuyler,0,4,9,104
04/05/2020,Seneca,0,9,11,141
04/05/2020,St. Lawrence,4,59,43,672
04/05/2020,Steuben,12,75,40,443
04/05/2020,Suffolk,1082,13487,2211,30902
04/05/2020,Sullivan,19,253,91,1374
04/05/2020,Tioga,1,8,10,199
04/05/2020,Tompkins,6,94,94,1679
04/05/2020,Ulster,40,372,182,2139
04/05/2020,Warren,1,26,12,521
04/05/2020,Washington,1,19,2,319
04/05/2020,Wayne,2,34,15,447
04/05/2020,Westchester,571,14294,1398,45353
04/05/2020,Wyoming,1,23,6,181
04/05/2020,Yates,0,1,2,80
04/04/2020,Albany,12,305,117,4155
04/04/2020,Allegany,0,16,8,188
04/04/2020,Bronx,1053,13368,1778,25743
04/04/2020,Broome,6,71,36,574
04/04/2020,Cattaraugus,1,10,12,235
04/04/2020,Cayuga,1,8,32,354
04/04/2020,Chautauqua,1,11,28,187
04/04/2020,Chemung,2,38,35,496
04/04/2020,Chenango,4,43,17,185
04/04/2020,Clinton,2,33,23,266
04/04/2020,Columbia,2,51,15,453
04/04/2020,Cortland,0,10,38,516
04/04/2020,Delaware,1,27,12,173
04/04/2020,Dutchess,139,1077,352,4106
04/04/2020,Erie,110,918,402,3926
04/04/2020,Essex,0,7,4,102
04/04/2020,Franklin,0,10,6,152
04/04/2020,Fulton,0,9,12,185
04/04/2020,Genesee,2,22,12,286
04/04/2020,Greene,0,24,7,274
04/04/2020,Hamilton,0,2,0,17
04/04/2020,Herkimer,4,22,46,184
04/04/2020,Jefferson,6,26,75,587
04/04/2020,Kings,1054,18558,1990,35596
04/04/2020,Lewis,1,3,19,101
04/04/2020,Livingston,1,19,27,221
04/04/2020,Madison,5,79,28,494
04/04/2020,Monroe,36,548,277,4921
04/04/2020,Montgomery,2,15,14,190
04/04/2020,Nassau,1052,14398,2195,31860
04/04/2020,New York,598,9898,1278,23991
04/04/2020,Niagara,15,116,54,529
04/04/2020,Oneida,7,87,55,777
04/04/2020,Onondaga,6,268,131,4163
04/04/2020,Ontario,1,32,33,444
04/04/2020,Orange,361,3102,1077,8989
04/04/2020,Orleans,1,11,9,160
04/04/2020,Oswego,2,28,26,562
04/04/2020,Otsego,3,29,25,284
04/04/2020,Putnam,31,314,78,1187
04/04/2020,Queens,1322,21436,2255,37662
04/04/2020,Rensselaer,2,60,48,1301
04/04/2020,Richmond,218,4291,513,9474
04/04/2020,Rockland,454,5326,880,12112
04/04/2020,Saratoga,7,148,110,2009
04/04/2020,Schenectady,11,128,64,1338
04/04/2020,Schoharie,1,11,16,143
04/04/2020,Schuyler,0,4,2,95
04/04/2020,Seneca,3,9,15,130
04/04/2020,St. Lawrence,3,55,46,629
04/04/2020,Steuben,8,63,31,403
04/04/2020,Suffolk,1035,12405,2200,28691
04/04/2020,Sullivan,41,234,153,1283
04/04/2020,Tioga,0,7,8,189
04/04/2020,Tompkins,3,88,52,1585
04/04/2020,Ulster,42,332,188,1957
04/04/2020,Warren,5,25,13,509
04/04/2020,Washington,2,18,15,317
04/04/2020,Wayne,2,32,24,432
04/04/2020,Westchester,642,13723,1621,43955
04/04/2020,Wyoming,4,22,16,175
04/04/2020,Yates,0,1,6,78
04/03/2020,Albany,26,293,123,4038
04/03/2020,Allegany,2,16,13,180
04/03/2020,Bronx,1229,12315,2108,23965
04/03/2020,Broome,9,65,55,538
04/03/2020,Cattaraugus,0,9,8,223
04/03/2020,Cayuga,1,7,15,322
04/03/2020,Chautauqua,1,10,20,159
04/03/2020,Chemung,1,36,28,461
04/03/2020,Chenango,7,39,40,168
04/03/2020,Clinton,1,31,11,243
04/03/2020,Columbia,7,49,20,438
04/03/2020,Cortland,0,10,32,478
04/03/2020,Delaware,2,26,18,161
04/03/2020,Dutchess,129,938,447,3754
04/03/2020,Erie,88,808,317,3524
04/03/2020,Essex,1,7,7,98
04/03/2020,Franklin,0,10,4,146
04/03/2020,Fulton,3,9,24,173
04/03/2020,Genesee,4,20,30,274
04/03/2020,Greene,1,24,10,267
04/03/2020,Hamilton,0,2,0,17
04/03/2020,Herkimer,4,18,27,138
04/03/2020,Jefferson,2,20,38,512
04/03/2020,Kings,1804,17504,3234,33606
04/03/2020,Lewis,0,2,5,82
04/03/2020,Livingston,2,18,18,194
04/03/2020,Madison,4,74,20,466
04/03/2020,Monroe,48,512,328,4644
04/03/2020,Montgomery,3,13,11,176
04/03/2020,Nassau,1322,13346,2694,29665
04/03/2020,New York,848,9300,1820,22713
04/03/2020,Niagara,7,101,47,475
04/03/2020,Oneida,9,80,58,722
04/03/2020,Onondaga,10,262,221,4032
04/03/2020,Ontario,3,31,36,411
04/03/2020,Orange,344,2741,1046,7912
04/03/2020,Orleans,1,10,11,151
04/03/2020,Oswego,0,26,31,536
04/03/2020,Otsego,5,26,53,259
04/03/2020,Putnam,31,283,96,1109
04/03/2020,Queens,1947,20114,3407,35407
04/03/2020,Rensselaer,2,58,18,1253
04/03/2020,Richmond,319,4073,679,8961
04/03/2020,Rockland,583,4872,1124,11232
