Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
05/11/2020,Warren,4,221,40,2177
05/11/2020,Washington,0,210,24,1632
05/11/2020,Wayne,2,83,64,2159
05/11/2020,Westchester,88,31472,984,113647
05/11/2020,Wyoming,0,77,24,1141
05/11/2020,Yates,0,21,15,445
05/10/2020,Albany,24,1456,384,14570
05/10/2020,Allegany,2,38,35,805
05/10/2020,Bronx,237,41296,2140,119945
05/10/2020,Broome,5,378,319,5241
05/10/2020,Cattaraugus,1,61,103,1468
05/10/2020,Cayuga,2,60,48,1244
05/10/2020,Chautauqua,0,41,27,1742
05/10/2020,Chemung,0,131,174,2762
05/10/2020,Chenango,2,111,107,1433
05/10/2020,Clinton,0,76,53,1144
05/10/2020,Columbia,2,314,41,2252
05/10/2020,Cortland,0,29,27,1493
05/10/2020,Delaware,1,65,19,1061
05/10/2020,Dutchess,19,3378,348,19312
05/10/2020,Erie,30,4483,386,26741
05/10/2020,Essex,0,32,31,788
05/10/2020,Franklin,0,17,53,676
05/10/2020,Fulton,2,109,59,1213
05/10/2020,Genesee,1,173,182,1807
05/10/2020,Greene,0,206,14,1585
05/10/2020,Hamilton,0,5,0,61
05/10/2020,Herkimer,2,81,57,1276
05/10/2020,Jefferson,0,68,63,2142
05/10/2020,Kings,255,50072,2825,154564
05/10/2020,Lewis,0,11,65,640
05/10/2020,Livingston,0,102,46,1603
05/10/2020,Madison,0,251,23,2131
05/10/2020,Monroe,29,1850,864,23418
05/10/2020,Montgomery,0,67,30,1069
05/10/2020,Nassau,120,38337,1756,118323
05/10/2020,New York,85,24062,1496,92363
05/10/2020,Niagara,12,655,176,5452
05/10/2020,Oneida,9,669,269,6223
05/10/2020,Onondaga,22,1287,240,15522
05/10/2020,Ontario,1,107,92,2625
05/10/2020,Orange,41,9584,402,34807
05/10/2020,Orleans,4,130,40,979
05/10/2020,Oswego,0,75,49,2082
05/10/2020,Otsego,0,67,40,1821
05/10/2020,Putnam,9,1098,122,5692
05/10/2020,Queens,318,57180,2937,161016
05/10/2020,Rensselaer,2,411,62,4886
05/10/2020,Richmond,45,12747,493,41348
05/10/2020,Rockland,33,12484,564,37514
05/10/2020,Saratoga,1,403,170,6840
05/10/2020,Schenectady,4,575,113,5965
05/10/2020,Schoharie,0,46,19,857
05/10/2020,Schuyler,0,7,14,579
05/10/2020,Seneca,0,49,41,811
05/10/2020,St. Lawrence,3,190,47,3555
05/10/2020,Steuben,1,228,58,2982
05/10/2020,Suffolk,209,36911,2014,115909
05/10/2020,Sullivan,16,1109,78,4990
05/10/2020,Tioga,2,107,40,1375
05/10/2020,Tompkins,0,132,86,5174
05/10/2020,Ulster,4,1454,135,10724
05/10/2020,Warren,10,217,90,2137
05/10/2020,Washington,4,210,39,1608
05/10/2020,Wayne,1,81,72,2095
05/10/2020,Westchester,90,31384,1321,112663
05/10/2020,Wyoming,0,77,39,1117
05/10/2020,Yates,0,21,15,430
05/09/2020,Albany,16,1432,455,14186
05/09/2020,Allegany,1,36,20,770
05/09/2020,Bronx,255,41059,2935,117805
05/09/2020,Broome,1,373,317,4922
05/09/2020,Cattaraugus,0,60,21,1365
05/09/2020,Cayuga,5,58,23,1196
05/09/2020,Chautauqua,1,41,58,1715
05/09/2020,Chemung,0,131,125,2588
05/09/2020,Chenango,0,109,45,1326
05/09/2020,Clinton,0,76,33,1091
05/09/2020,Columbia,8,312,264,2211
05/09/2020,Cortland,0,29,29,1466
05/09/2020,Delaware,1,64,33,1042
05/09/2020,Dutchess,40,3359,471,18964
05/09/2020,Erie,116,4453,1231,26355
05/09/2020,Essex,1,32,111,757
05/09/2020,Franklin,0,17,50,623
05/09/2020,Fulton,3,107,31,1154
05/09/2020,Genesee,2,172,149,1625
05/09/2020,Greene,2,206,44,1571
05/09/2020,Hamilton,0,5,1,61
05/09/2020,Herkimer,2,79,56,1219
05/09/2020,Jefferson,1,68,64,2079
05/09/2020,Kings,356,49817,3682,151739
05/09/2020,Lewis,0,11,95,575
05/09/2020,Livingston,1,102,58,1557
05/09/2020,Madison,1,251,37,2108
05/09/2020,Monroe,46,1821,1148,22554
05/09/2020,Montgomery,1,67,33,1039
05/09/2020,Nassau,189,38217,2260,116567
05/09/2020,New York,96,23977,2336,90867
05/09/2020,Niagara,16,643,359,5276
05/09/2020,Oneida,22,660,329,5954
05/09/2020,Onondaga,47,1265,507,15282
05/09/2020,Ontario,2,106,109,2533
05/09/2020,Orange,57,9543,535,34405
05/09/2020,Orleans,4,126,41,939
05/09/2020,Oswego,0,75,59,2033
05/09/2020,Otsego,0,67,46,1781
05/09/2020,Putnam,9,1089,155,5570
05/09/2020,Queens,369,56862,3416,158079
05/09/2020,Rensselaer,2,409,248,4824
05/09/2020,Richmond,52,12702,717,40855
05/09/2020,Rockland,51,12451,582,36950
05/09/2020,Saratoga,3,402,183,6670
05/09/2020,Schenectady,0,571,199,5852
05/09/2020,Schoharie,0,46,23,838
05/09/2020,Schuyler,0,7,31,565
05/09/2020,Seneca,1,49,42,770
05/09/2020,St. Lawrence,0,187,51,3508
05/09/2020,Steuben,1,227,73,2924
05/09/2020,Suffolk,241,36702,2556,113895
05/09/2020,Sullivan,22,1093,115,4912
05/09/2020,Tioga,1,105,31,1335
05/09/2020,Tompkins,0,132,95,5088
05/09/2020,Ulster,10,1450,210,10589
05/09/2020,Warren,5,207,149,2047
05/09/2020,Washington,2,206,60,1569
05/09/2020,Wayne,1,80,101,2023
05/09/2020,Westchester,207,31294,1940,111342
05/09/2020,Wyoming,2,77,26,1078
05/09/2020,Yates,1,21,27,415
05/08/2020,Albany,32,1416,488,13731
05/08/2020,Allegany,0,35,18,750
05/08/2020,Bronx,271,40804,2873,114870
05/08/2020,Broome,8,372,252,4605
05/08/2020,Cattaraugus,1,60,54,1344
05/08/2020,Cayuga,1,53,61,1173
05/08/2020,Chautauqua,0,40,97,1657
05/08/2020,Chemung,1,131,108,2463
05/08/2020,Chenango,4,109,181,1281
05/08/2020,Clinton,2,76,27,1058
05/08/2020,Columbia,0,304,42,1947
05/08/2020,Cortland,0,29,96,1437
05/08/2020,Delaware,0,63,30,1009
05/08/2020,Dutchess,42,3319,534,18493
05/08/2020,Erie,82,4337,1049,25124
05/08/2020,Essex,0,31,64,646
05/08/2020,Franklin,0,17,24,573
05/08/2020,Fulton,1,104,30,1123
05/08/2020,Genesee,1,170,47,1476
05/08/2020,Greene,5,204,45,1527
05/08/2020,Hamilton,0,5,3,60
05/08/2020,Herkimer,1,77,43,1163
05/08/2020,Jefferson,1,67,47,2015
05/08/2020,Kings,463,49461,4747,148057
05/08/2020,Lewis,1,11,85,480
05/08/2020,Livingston,1,101,49,1499
05/08/2020,Madison,1,250,50,2071
05/08/2020,Monroe,40,1775,1114,21406
05/08/2020,Montgomery,2,66,36,1006
05/08/2020,Nassau,216,38028,2390,114307
05/08/2020,New York,151,23881,2633,88531
05/08/2020,Niagara,22,627,273,4917
05/08/2020,Oneida,18,638,296,5625
05/08/2020,Onondaga,49,1218,464,14775
05/08/2020,Ontario,0,104,69,2424
05/08/2020,Orange,84,9486,690,33870
05/08/2020,Orleans,1,122,29,898
05/08/2020,Oswego,3,75,52,1974
05/08/2020,Otsego,0,67,39,1735
05/08/2020,Putnam,6,1080,161,5415
05/08/2020,Queens,549,56493,4596,154663
05/08/2020,Rensselaer,27,407,187,4576
05/08/2020,Richmond,72,12650,832,40138
05/08/2020,Rockland,51,12400,669,36368
05/08/2020,Saratoga,11,399,179,6487
05/08/2020,Schenectady,13,571,204,5653
05/08/2020,Schoharie,1,46,32,815
05/08/2020,Schuyler,0,7,38,534
05/08/2020,Seneca,2,48,46,728
05/08/2020,St. Lawrence,0,187,164,3457
05/08/2020,Steuben,1,226,228,2851
05/08/2020,Suffolk,238,36461,2227,111339
05/08/2020,Sullivan,32,1071,143,4797
05/08/2020,Tioga,5,104,83,1304
05/08/2020,Tompkins,1,132,619,4993
05/08/2020,Ulster,11,1440,195,10379
05/08/2020,Warren,3,202,97,1898
05/08/2020,Washington,3,204,86,1509
05/08/2020,Wayne,0,79,63,1922
05/08/2020,Westchester,182,31087,1936,109402
05/08/2020,Wyoming,2,75,187,1052
05/08/2020,Yates,0,20,24,388
05/07/2020,Albany,36,1384,385,13243
05/07/2020,Allegany,0,35,33,732
05/07/2020,Bronx,352,40533,3078,111997
05/07/2020,Broome,4,364,214,4353
05/07/2020,Cattaraugus,0,59,36,1290
05/07/2020,Cayuga,0,52,20,1112
05/07/2020,Chautauqua,0,40,51,1560
05/07/2020,Chemung,1,130,46,2355
05/07/2020,Chenango,0,105,26,1100
05/07/2020,Clinton,5,74,72,1031
05/07/2020,Columbia,2,304,70,1905
05/07/2020,Cortland,0,29,38,1341
05/07/2020,Delaware,0,63,24,979
05/07/2020,Dutchess,44,3277,482,17959
05/07/2020,Erie,119,4255,1008,24075
05/07/2020,Essex,1,31,69,582
05/07/2020,Franklin,1,17,82,549
05/07/2020,Fulton,2,103,27,1093
05/07/2020,Genesee,1,169,62,1429
05/07/2020,Greene,1,199,34,1482
05/07/2020,Hamilton,0,5,4,57
05/07/2020,Herkimer,2,76,55,1120
05/07/2020,Jefferson,2,66,82,1968
05/07/2020,Kings,448,48998,4582,143310
05/07/2020,Lewis,0,10,20,395
05/07/2020,Livingston,5,100,56,1450
05/07/2020,Madison,3,249,95,2021
05/07/2020,Monroe,47,1735,1042,20292
05/07/2020,Montgomery,1,64,36,970
05/07/2020,Nassau,219,37812,2050,111917
05/07/2020,New York,201,23730,3036,85898
05/07/2020,Niagara,17,605,257,4644
05/07/2020,Oneida,11,620,323,5329
05/07/2020,Onondaga,54,1169,407,14311
05/07/2020,Ontario,3,104,108,2355
05/07/2020,Orange,74,9402,842,33180
05/07/2020,Orleans,13,121,62,869
05/07/2020,Oswego,2,72,54,1922
05/07/2020,Otsego,0,67,44,1696
05/07/2020,Putnam,8,1074,121,5254
05/07/2020,Queens,494,55944,3992,150067
05/07/2020,Rensselaer,13,380,194,4389
05/07/2020,Richmond,72,12578,672,39306
05/07/2020,Rockland,69,12349,740,35699
05/07/2020,Saratoga,14,388,174,6308
05/07/2020,Schenectady,7,558,144,5449
05/07/2020,Schoharie,0,45,15,783
05/07/2020,Schuyler,0,7,9,496
05/07/2020,Seneca,0,46,19,682
05/07/2020,St. Lawrence,6,187,845,3293
05/07/2020,Steuben,1,225,101,2623
05/07/2020,Suffolk,331,36223,2357,109112
05/07/2020,Sullivan,18,1039,90,4654
05/07/2020,Tioga,2,99,40,1221
05/07/2020,Tompkins,1,131,187,4374
05/07/2020,Ulster,13,1429,276,10184
05/07/2020,Warren,6,199,72,1801
05/07/2020,Washington,11,201,106,1423
05/07/2020,Wayne,1,79,95,1859
05/07/2020,Westchester,197,30905,2224,107466
05/07/2020,Wyoming,2,73,130,865
05/07/2020,Yates,1,20,12,364
05/06/2020,Albany,27,1348,407,12858
05/06/2020,Allegany,0,35,40,699
05/06/2020,Bronx,342,40181,2786,108919
05/06/2020,Broome,15,360,333,4139
05/06/2020,Cattaraugus,5,59,65,1254
05/06/2020,Cayuga,1,52,25,1092
05/06/2020,Chautauqua,2,40,80,1509
05/06/2020,Chemung,1,129,89,2309
05/06/2020,Chenango,3,105,50,1074
05/06/2020,Clinton,0,69,22,959
05/06/2020,Columbia,11,302,58,1835
05/06/2020,Cortland,1,29,27,1303
05/06/2020,Delaware,1,63,30,955
05/06/2020,Dutchess,41,3233,438,17477
05/06/2020,Erie,128,4136,1164,23067
05/06/2020,Essex,0,30,15,513
05/06/2020,Franklin,0,16,18,467
05/06/2020,Fulton,1,101,30,1066
05/06/2020,Genesee,6,168,98,1367
05/06/2020,Greene,10,198,55,1448
05/06/2020,Hamilton,0,5,0,53
05/06/2020,Herkimer,6,74,65,1065
05/06/2020,Jefferson,1,64,90,1886
05/06/2020,Kings,576,48550,5284,138728
05/06/2020,Lewis,1,10,25,375
05/06/2020,Livingston,6,95,100,1394
05/06/2020,Madison,15,246,204,1926
05/06/2020,Monroe,33,1688,1088,19250
05/06/2020,Montgomery,0,63,34,934
05/06/2020,Nassau,243,37593,2658,109867
05/06/2020,New York,272,23529,2966,82862
05/06/2020,Niagara,39,588,282,4387
05/06/2020,Oneida,30,609,375,5006
05/06/2020,Onondaga,59,1115,534,13904
05/06/2020,Ontario,2,101,121,2247
05/06/2020,Orange,113,9328,1181,32338
05/06/2020,Orleans,5,108,33,807
05/06/2020,Oswego,0,70,48,1868
05/06/2020,Otsego,0,67,43,1652
05/06/2020,Putnam,26,1066,317,5133
05/06/2020,Queens,570,55450,4505,146075
05/06/2020,Rensselaer,20,367,159,4195
05/06/2020,Richmond,105,12506,828,38634
05/06/2020,Rockland,76,12280,852,34959
05/06/2020,Saratoga,3,374,157,6134
05/06/2020,Schenectady,0,551,194,5305
05/06/2020,Schoharie,0,45,20,768
05/06/2020,Schuyler,0,7,12,487
05/06/2020,Seneca,0,46,24,663
05/06/2020,St. Lawrence,1,181,53,2448
05/06/2020,Steuben,1,224,66,2522
05/06/2020,Suffolk,349,35892,2668,106755
05/06/2020,Sullivan,25,1021,150,4564
05/06/2020,Tioga,1,97,40,1181
05/06/2020,Tompkins,1,130,188,4187
05/06/2020,Ulster,33,1416,298,9908
05/06/2020,Warren,0,193,44,1729
05/06/2020,Washington,1,190,20,1317
05/06/2020,Wayne,0,78,93,1764
05/06/2020,Westchester,282,30708,2311,105242
05/06/2020,Wyoming,1,71,22,735
05/06/2020,Yates,0,19,13,352
05/05/2020,Albany,27,1321,367,12451
05/05/2020,Allegany,0,35,22,659
05/05/2020,Bronx,363,39839,2657,106133
05/05/2020,Broome,7,345,273,3806
05/05/2020,Cattaraugus,1,54,47,1189
05/05/2020,Cayuga,0,51,19,1067
05/05/2020,Chautauqua,1,38,88,1429
05/05/2020,Chemung,2,128,143,2220
05/05/2020,Chenango,2,102,51,1024
05/05/2020,Clinton,0,69,25,937
05/05/2020,Columbia,62,291,188,1777
05/05/2020,Cortland,0,28,33,1276
05/05/2020,Delaware,0,62,30,925
05/05/2020,Dutchess,41,3192,370,17039
05/05/2020,Erie,117,4008,1498,21903
05/05/2020,Essex,0,30,18,498
05/05/2020,Franklin,0,16,15,449
05/05/2020,Fulton,3,100,50,1036
05/05/2020,Genesee,3,162,59,1269
05/05/2020,Greene,22,188,84,1393
05/05/2020,Hamilton,2,5,6,53
05/05/2020,Herkimer,1,68,66,1000
05/05/2020,Jefferson,0,63,50,1796
05/05/2020,Kings,395,47974,3597,133444
05/05/2020,Lewis,0,9,4,350
05/05/2020,Livingston,3,89,52,1294
05/05/2020,Madison,8,231,192,1722
05/05/2020,Monroe,32,1655,842,18162
05/05/2020,Montgomery,2,63,46,900
05/05/2020,Nassau,198,37350,1765,107209
05/05/2020,New York,203,23257,2499,79896
05/05/2020,Niagara,41,549,353,4105
05/05/2020,Oneida,5,579,234,4631
05/05/2020,Onondaga,54,1056,731,13370
05/05/2020,Ontario,2,99,105,2126
05/05/2020,Orange,71,9215,509,31157
05/05/2020,Orleans,4,103,36,774
05/05/2020,Oswego,2,70,41,1820
05/05/2020,Otsego,0,67,70,1609
05/05/2020,Putnam,9,1040,96,4816
05/05/2020,Queens,432,54880,3591,141570
05/05/2020,Rensselaer,8,347,126,4036
05/05/2020,Richmond,84,12401,702,37806
05/05/2020,Rockland,60,12204,401,34107
05/05/2020,Saratoga,3,371,173,5977
05/05/2020,Schenectady,14,551,178,5111
05/05/2020,Schoharie,0,45,29,748
05/05/2020,Schuyler,0,7,31,475
05/05/2020,Seneca,0,46,20,639
05/05/2020,St. Lawrence,2,180,34,2395
05/05/2020,Steuben,2,223,114,2456
05/05/2020,Suffolk,268,35543,2112,104087
05/05/2020,Sullivan,12,996,99,4414
05/05/2020,Tioga,4,96,76,1141
05/05/2020,Tompkins,0,129,104,3999
05/05/2020,Ulster,26,1383,272,9610
05/05/2020,Warren,1,193,22,1685
05/05/2020,Washington,1,189,25,1297
05/05/2020,Wayne,0,78,93,1671
05/05/2020,Westchester,186,30426,1434,102931
05/05/2020,Wyoming,0,70,42,713
05/05/2020,Yates,0,19,13,339
05/04/2020,Albany,7,1294,130,12084
05/04/2020,Allegany,0,35,31,637
05/04/2020,Bronx,253,39476,2001,103476
05/04/2020,Broome,4,338,180,3533
05/04/2020,Cattaraugus,0,53,14,1142
05/04/2020,Cayuga,0,51,22,1048
05/04/2020,Chautauqua,0,37,54,1341
05/04/2020,Chemung,0,126,154,2077
05/04/2020,Chenango,0,100,42,973
05/04/2020,Clinton,1,69,27,912
05/04/2020,Columbia,16,229,79,1589
05/04/2020,Cortland,0,28,12,1243
05/04/2020,Delaware,0,62,31,895
05/04/2020,Dutchess,20,3151,307,16669
05/04/2020,Erie,89,3891,779,20405
05/04/2020,Essex,1,30,26,480
05/04/2020,Franklin,0,16,11,434
05/04/2020,Fulton,13,97,63,986
05/04/2020,Genesee,0,159,47,1210
05/04/2020,Greene,12,166,36,1309
05/04/2020,Hamilton,0,3,1,47
05/04/2020,Herkimer,4,67,29,934
05/04/2020,Jefferson,0,63,13,1746
05/04/2020,Kings,396,47579,3364,129847
05/04/2020,Lewis,0,9,6,346
05/04/2020,Livingston,1,86,52,1242
05/04/2020,Madison,6,223,43,1530
05/04/2020,Monroe,28,1623,721,17320
05/04/2020,Montgomery,5,61,28,854
05/04/2020,Nassau,187,37152,1822,105444
05/04/2020,New York,154,23054,2246,77397
05/04/2020,Niagara,15,508,198,3752
05/04/2020,Oneida,24,574,247,4397
05/04/2020,Onondaga,31,1002,176,12639
05/04/2020,Ontario,1,97,86,2021
05/04/2020,Orange,129,9144,869,30648
05/04/2020,Orleans,2,99,15,738
05/04/2020,Oswego,1,68,40,1779
05/04/2020,Otsego,0,67,87,1539
05/04/2020,Putnam,5,1031,87,4720
05/04/2020,Queens,358,54448,2633,137979
05/04/2020,Rensselaer,2,339,71,3910
05/04/2020,Richmond,62,12317,573,37104
05/04/2020,Rockland,49,12144,437,33706
05/04/2020,Saratoga,1,368,115,5804
05/04/2020,Schenectady,2,537,98,4933
05/04/2020,Schoharie,0,45,29,719
05/04/2020,Schuyler,0,7,5,444
05/04/2020,Seneca,1,46,26,619
05/04/2020,St. Lawrence,0,178,38,2361
05/04/2020,Steuben,2,221,90,2342
05/04/2020,Suffolk,198,35275,1586,101975
05/04/2020,Sullivan,8,984,111,4315
05/04/2020,Tioga,2,92,67,1065
05/04/2020,Tompkins,0,129,52,3895
05/04/2020,Ulster,3,1357,104,9338
05/04/2020,Warren,0,192,34,1663
05/04/2020,Washington,0,188,22,1272
05/04/2020,Wayne,2,78,66,1578
05/04/2020,Westchester,143,30240,1225,101497
05/04/2020,Wyoming,1,70,24,671
05/04/2020,Yates,0,19,7,326
05/03/2020,Albany,29,1287,391,11954
05/03/2020,Allegany,0,35,14,606
05/03/2020,Bronx,307,39223,1869,101475
05/03/2020,Broome,7,334,353,3353
05/03/2020,Cattaraugus,0,53,7,1128
05/03/2020,Cayuga,0,51,10,1026
05/03/2020,Chautauqua,1,37,9,1287
05/03/2020,Chemung,1,126,244,1923
05/03/2020,Chenango,1,100,50,931
05/03/2020,Clinton,2,68,21,885
05/03/2020,Columbia,4,213,38,1510
05/03/2020,Cortland,0,28,42,1231
05/03/2020,Delaware,1,62,54,864
05/03/2020,Dutchess,45,3131,370,16362
05/03/2020,Erie,92,3802,760,19626
05/03/2020,Essex,0,29,10,454
05/03/2020,Franklin,1,16,15,423
05/03/2020,Fulton,2,84,25,923
05/03/2020,Genesee,4,159,48,1163
05/03/2020,Greene,3,154,34,1273
05/03/2020,Hamilton,0,3,2,46
05/03/2020,Herkimer,1,63,41,905
05/03/2020,Jefferson,1,63,82,1733
05/03/2020,Kings,344,47183,2545,126483
05/03/2020,Lewis,0,9,9,340
05/03/2020,Livingston,2,85,26,1190
05/03/2020,Madison,66,217,141,1487
05/03/2020,Monroe,29,1595,914,16599
05/03/2020,Montgomery,0,56,19,826
05/03/2020,Nassau,185,36965,1736,103622
05/03/2020,New York,159,22900,1524,75151
05/03/2020,Niagara,19,493,318,3554
05/03/2020,Oneida,61,550,241,4150
05/03/2020,Onondaga,19,971,436,12463
05/03/2020,Ontario,1,96,81,1935
05/03/2020,Orange,48,9015,421,29779
05/03/2020,Orleans,0,97,21,723
05/03/2020,Oswego,1,67,44,1739
05/03/2020,Otsego,0,67,36,1452
05/03/2020,Putnam,13,1026,114,4633
05/03/2020,Queens,450,54090,2696,135346
05/03/2020,Rensselaer,15,337,148,3839
05/03/2020,Richmond,60,12255,549,36531
05/03/2020,Rockland,70,12095,476,33269
05/03/2020,Saratoga,4,367,103,5689
05/03/2020,Schenectady,8,535,126,4835
05/03/2020,Schoharie,0,45,21,690
05/03/2020,Schuyler,0,7,12,439
05/03/2020,Seneca,0,45,19,593
05/03/2020,St. Lawrence,1,178,85,2323
05/03/2020,Steuben,1,219,70,2252
05/03/2020,Suffolk,222,35077,1640,100389
05/03/2020,Sullivan,25,976,106,4204
05/03/2020,Tioga,0,90,50,998
05/03/2020,Tompkins,0,129,126,3843
05/03/2020,Ulster,13,1354,198,9234
05/03/2020,Warren,4,192,53,1629
05/03/2020,Washington,2,188,31,1250
05/03/2020,Wayne,1,76,88,1512
05/03/2020,Westchester,213,30097,1662,100272
05/03/2020,Wyoming,0,69,16,647
05/03/2020,Yates,0,19,9,319
05/02/2020,Albany,20,1258,441,11563
05/02/2020,Allegany,0,35,18,592
05/02/2020,Bronx,466,38916,2857,99606
05/02/2020,Broome,22,327,415,3000
05/02/2020,Cattaraugus,3,53,54,1121
05/02/2020,Cayuga,0,51,14,1016
05/02/2020,Chautauqua,1,36,18,1278
05/02/2020,Chemung,1,125,26,1679
05/02/2020,Chenango,0,99,36,881
05/02/2020,Clinton,4,66,33,864
05/02/2020,Columbia,4,209,57,1472
05/02/2020,Cortland,0,28,16,1189
05/02/2020,Delaware,0,61,28,810
05/02/2020,Dutchess,37,3086,434,15992
05/02/2020,Erie,112,3710,799,18866
05/02/2020,Essex,1,29,23,444
05/02/2020,Franklin,0,15,9,408
05/02/2020,Fulton,3,82,36,898
05/02/2020,Genesee,0,155,25,1115
05/02/2020,Greene,9,151,32,1239
05/02/2020,Hamilton,0,3,1,44
05/02/2020,Herkimer,1,62,29,864
05/02/2020,Jefferson,0,62,48,1651
05/02/2020,Kings,564,46839,3804,123938
05/02/2020,Lewis,0,9,1,331
05/02/2020,Livingston,7,83,52,1164
05/02/2020,Madison,2,151,26,1346
05/02/2020,Monroe,32,1566,571,15685
05/02/2020,Montgomery,2,56,53,807
05/02/2020,Nassau,261,36780,2194,101886
05/02/2020,New York,245,22741,2214,73627
05/02/2020,Niagara,17,474,184,3236
05/02/2020,Oneida,15,489,149,3909
05/02/2020,Onondaga,49,952,593,12027
05/02/2020,Ontario,3,95,90,1854
05/02/2020,Orange,57,8967,510,29358
05/02/2020,Orleans,4,97,22,702
05/02/2020,Oswego,0,66,37,1695
05/02/2020,Otsego,0,67,42,1416
05/02/2020,Putnam,10,1013,90,4519
05/02/2020,Queens,601,53640,3755,132650
05/02/2020,Rensselaer,11,322,170,3691
05/02/2020,Richmond,101,12195,729,35982
05/02/2020,Rockland,80,12025,598,32793
05/02/2020,Saratoga,2,363,203,5586
05/02/2020,Schenectady,6,527,146,4709
05/02/2020,Schoharie,2,45,20,669
05/02/2020,Schuyler,0,7,2,427
05/02/2020,Seneca,3,45,51,574
05/02/2020,St. Lawrence,1,177,125,2238
05/02/2020,Steuben,1,218,41,2182
05/02/2020,Suffolk,377,34855,2521,98749
05/02/2020,Sullivan,20,951,105,4098
05/02/2020,Tioga,0,90,25,948
05/02/2020,Tompkins,1,129,27,3717
05/02/2020,Ulster,14,1341,256,9036
05/02/2020,Warren,3,188,43,1576
05/02/2020,Washington,2,186,63,1219
05/02/2020,Wayne,2,75,86,1424
05/02/2020,Westchester,258,29884,1809,98610
05/02/2020,Wyoming,0,69,15,631
05/02/2020,Yates,1,19,23,310
05/01/2020,Albany,34,1238,434,11122
05/01/2020,Allegany,0,35,11,574
05/01/2020,Bronx,665,38450,3694,96749
05/01/2020,Broome,6,305,114,2585
05/01/2020,Cattaraugus,1,50,80,1067
05/01/2020,Cayuga,0,51,17,1002
05/01/2020,Chautauqua,0,35,53,1260
05/01/2020,Chemung,1,124,36,1653
05/01/2020,Chenango,0,99,35,845
05/01/2020,Clinton,1,62,35,831
05/01/2020,Columbia,3,205,37,1415
05/01/2020,Cortland,0,28,30,1173
05/01/2020,Delaware,0,61,29,782
05/01/2020,Dutchess,47,3049,473,15558
05/01/2020,Erie,117,3598,1058,18067
05/01/2020,Essex,0,28,31,421
05/01/2020,Franklin,0,15,9,399
05/01/2020,Fulton,4,79,34,862
05/01/2020,Genesee,1,155,55,1090
05/01/2020,Greene,3,142,36,1207
05/01/2020,Hamilton,0,3,3,43
05/01/2020,Herkimer,1,61,15,835
05/01/2020,Jefferson,1,62,48,1603
05/01/2020,Kings,756,46275,4717,120134
05/01/2020,Lewis,0,9,12,330
05/01/2020,Livingston,3,76,44,1112
05/01/2020,Madison,10,149,54,1320
05/01/2020,Monroe,56,1534,520,15114
05/01/2020,Montgomery,0,54,27,754
05/01/2020,Nassau,358,36519,2384,99692
