pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
46,Manitoba,Manitoba,12-03-2020,,0,1,0,1,352,,,,255,,1,0.00,0.07,0.00,0,0.00,0,,,100.00,1,0.07,,,,,,,,,,,,
35,Ontario,Ontario,12-03-2020,,59,0,1,59,4185,,,,284,,17,40.48,0.40,0.01,0,1.69,791,,,98.31,58,0.39,,,,,,,,,,,,
24,Quebec,Québec,12-03-2020,,13,0,0,13,740,,,,86,,6,85.71,0.15,0.00,0,0.00,184,,,100.00,13,0.15,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,,0,0,0,0,52,,,,100,,0,0.00,0.00,0.00,0,,30,,,,,0.00,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,,0,1,0,1,44,,,,56,,1,0.00,0.13,0.00,0,0.00,0,,,100.00,1,0.13,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,,0,0,0,0,182,,,,186,,0,0.00,0.00,0.00,0,,79,,,,,0.00,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,,0,0,0,0,6,,,,38,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
60,Yukon,Yukon,12-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,,0,0,0,0,34,,,,753,,0,0.00,0.00,0.00,0,,34,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,12-03-2020,,0,0,0,0,1,,,,25,,0,0.00,0.00,0.00,0,,1,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,,1,0,0,1,29,,,,,,0,0.00,,,0,0.00,0,,,100.00,1,,,,,,,,,,,,,
1,Canada,Canada,12-03-2020,,138,3,2,141,15214,,,,400,,38,36.89,0.37,0.01,0,1.42,4162,,,98.58,139,0.37,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,13-03-2020,,53,0,1,53,5195,,,,1009,,7,15.22,1.03,0.02,0,1.89,0,,,98.11,52,1.01,,,,,,,,,,,,
48,Alberta,Alberta,13-03-2020,,23,0,0,23,4109,,,,929,,4,21.05,0.52,0.00,0,0.00,0,,,100.00,23,0.52,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,13-03-2020,,0,1,0,1,285,,,,242,,0,0.00,0.08,0.00,0,0.00,0,,,100.00,1,0.08,,,,,,,,,,,,
46,Manitoba,Manitoba,13-03-2020,,1,2,0,3,352,,,,255,,2,200.00,0.22,0.00,0,0.00,0,,,100.00,3,0.22,,,,,,,,,,,,
35,Ontario,Ontario,13-03-2020,,79,0,1,79,4185,,,,284,,20,33.90,0.54,0.01,0,1.27,0,,,98.73,78,0.53,,,,,,,,,,,,
24,Quebec,Québec,13-03-2020,,17,0,0,17,740,,,,86,,4,30.77,0.20,0.00,0,0.00,0,,,100.00,17,0.20,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,,0,0,0,0,52,,,,100,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,,1,0,0,1,44,,,,56,,0,0.00,0.13,0.00,0,0.00,0,,,100.00,1,0.13,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,,0,0,0,0,182,,,,186,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,,0,0,0,0,6,,,,38,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
60,Yukon,Yukon,13-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,,0,0,0,0,34,,,,753,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,13-03-2020,,0,0,0,0,1,,,,25,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,,2,0,0,2,29,,,,,,1,100.00,,,0,0.00,0,,,100.00,2,,,,,,,,,,,,,
1,Canada,Canada,13-03-2020,,176,3,2,179,15214,,,,400,,38,26.95,0.47,0.01,0,1.12,0,,,98.88,177,0.47,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,14-03-2020,,64,0,1,64,7033,,,,1366,,11,20.75,1.24,0.02,0,1.56,1838,,,98.44,63,1.22,,,,,,,,,,,,
48,Alberta,Alberta,14-03-2020,,29,0,0,29,5247,,,,1187,,6,26.09,0.66,0.00,0,0.00,1138,,,100.00,29,0.66,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,14-03-2020,,0,2,0,2,349,,,,296,,1,100.00,0.17,0.00,0,0.00,64,,,100.00,2,0.17,,,,,,,,,,,,
46,Manitoba,Manitoba,14-03-2020,,1,3,0,4,837,,,,607,,1,33.33,0.29,0.00,0,0.00,485,,,100.00,4,0.29,,,,,,,,,,,,
35,Ontario,Ontario,14-03-2020,,79,0,1,79,6646,,,,451,,0,0.00,0.54,0.01,0,1.27,2461,,,98.73,78,0.53,,,,,,,,,,,,
24,Quebec,Québec,14-03-2020,,17,0,0,17,1584,,,,185,,0,0.00,0.20,0.00,0,0.00,844,,,100.00,17,0.20,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,,0,0,0,0,62,,,,119,,0,0.00,0.00,0.00,0,,10,,,,,0.00,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,,1,1,0,2,82,,,,105,,1,100.00,0.26,0.00,0,0.00,38,,,100.00,2,0.26,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,,0,0,0,0,481,,,,491,,0,0.00,0.00,0.00,0,,299,,,,,0.00,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,,0,0,0,0,6,,,,38,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
60,Yukon,Yukon,14-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,,0,0,0,0,76,,,,1683,,0,0.00,0.00,0.00,0,,42,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,14-03-2020,,0,0,0,0,6,,,,152,,0,0.00,0.00,0.00,0,,5,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,,2,0,0,2,29,,,,,,0,0.00,,,0,0.00,0,,,100.00,2,,,,,,,,,,,,,
1,Canada,Canada,14-03-2020,,193,6,2,199,22438,,,,590,,20,11.17,0.52,0.01,0,1.01,7224,,,98.99,197,0.52,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,15-03-2020,,73,0,1,73,7033,,,,1366,,9,14.06,1.42,0.02,0,1.37,0,,,98.63,72,1.40,,,,,,,,,,,,
48,Alberta,Alberta,15-03-2020,,39,0,0,39,5247,,,,1187,,10,34.48,0.88,0.00,0,0.00,0,,,100.00,39,0.88,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,15-03-2020,,0,2,0,2,349,,,,296,,0,0.00,0.17,0.00,0,0.00,0,,,100.00,2,0.17,,,,,,,,,,,,
46,Manitoba,Manitoba,15-03-2020,,4,0,0,4,837,,,,607,,0,0.00,0.29,0.00,0,0.00,0,,,100.00,4,0.29,,,,,,,,,,,,
35,Ontario,Ontario,15-03-2020,,103,0,1,103,8461,,,,574,,24,30.38,0.70,0.01,0,0.97,1815,,,99.03,102,0.69,,,,,,,,,,,,
24,Quebec,Québec,15-03-2020,,24,0,0,24,2337,,,,273,,7,41.18,0.28,0.00,0,0.00,753,,,100.00,24,0.28,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,,0,1,0,1,62,,,,119,,1,0.00,0.19,0.00,0,0.00,0,,,100.00,1,0.19,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,15-03-2020,,1,1,0,2,82,,,,105,,0,0.00,0.26,0.00,0,0.00,0,,,100.00,2,0.26,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,,0,0,0,0,481,,,,491,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,,1,0,0,1,6,,,,38,,1,0.00,0.63,0.00,0,0.00,0,,,100.00,1,0.63,,,,,,,,,,,,
60,Yukon,Yukon,15-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,,0,0,0,0,76,,,,1683,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,15-03-2020,,0,0,0,0,6,,,,152,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,,4,0,0,4,29,,,,,,2,100.00,,,0,0.00,0,,,100.00,4,,,,,,,,,,,,,
1,Canada,Canada,15-03-2020,,249,4,2,253,25006,,,,658,,54,27.14,0.67,0.01,0,0.79,2568,,,99.21,251,0.66,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,16-03-2020,,73,0,4,73,9926,,,,1928,,0,0.00,1.42,0.08,3,5.48,2893,,,94.52,69,1.34,,,,,,,,,,,,
48,Alberta,Alberta,16-03-2020,,56,0,0,56,10238,,,,2315,,17,43.59,1.27,0.00,0,0.00,4991,,,100.00,56,1.27,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,16-03-2020,,1,5,0,6,881,,,,747,,4,200.00,0.51,0.00,0,0.00,532,,,100.00,6,0.51,,,,,,,,,,,,
46,Manitoba,Manitoba,16-03-2020,,4,3,0,7,1848,,,,1340,,3,75.00,0.51,0.00,0,0.00,1011,,,100.00,7,0.51,,,,,,,,,,,,
35,Ontario,Ontario,16-03-2020,,145,0,1,145,10178,,,,691,,42,40.78,0.98,0.01,0,0.69,1717,,,99.31,144,0.98,,,,,,,,,,,,
24,Quebec,Québec,16-03-2020,,39,0,0,39,3129,,,,365,,15,62.50,0.45,0.00,0,0.00,792,,,100.00,39,0.45,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,,0,1,0,1,161,,,,308,,0,0.00,0.19,0.00,0,0.00,99,,,100.00,1,0.19,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,16-03-2020,,1,5,0,6,143,,,,183,,4,200.00,0.77,0.00,0,0.00,61,,,100.00,6,0.77,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,,0,3,0,3,1075,,,,1098,,3,0.00,0.31,0.00,0,0.00,594,,,100.00,3,0.31,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,,1,0,0,1,6,,,,38,,0,0.00,0.63,0.00,0,0.00,0,,,100.00,1,0.63,,,,,,,,,,,,
60,Yukon,Yukon,16-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,,0,0,0,0,138,,,,3056,,0,0.00,0.00,0.00,0,,62,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,16-03-2020,,0,0,0,0,7,,,,178,,0,0.00,0.00,0.00,0,,1,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,,4,0,0,4,29,,,,,,0,0.00,,,0,0.00,0,,,100.00,4,,,,,,,,,,,,,
1,Canada,Canada,16-03-2020,,324,17,5,341,37759,,,,994,,88,34.78,0.90,0.01,3,1.47,12753,,,98.53,336,0.88,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,17-03-2020,,103,0,7,103,11612,,,,2256,,30,41.10,2.00,0.14,3,6.80,1686,,,93.20,96,1.86,,,,,,,,,,,,
48,Alberta,Alberta,17-03-2020,,74,0,0,74,11487,,,,2598,,18,32.14,1.67,0.00,0,0.00,1249,,,100.00,74,1.67,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,17-03-2020,,2,5,0,7,1066,,,,904,,1,16.67,0.59,0.00,0,0.00,185,,,100.00,7,0.59,,,,,,,,,,,,
46,Manitoba,Manitoba,17-03-2020,,7,0,0,7,2216,,,,1607,,0,0.00,0.51,0.00,0,0.00,368,,,100.00,7,0.51,,,,,,,,,,,,
35,Ontario,Ontario,17-03-2020,,177,0,1,177,11167,,,,758,,32,22.07,1.20,0.01,0,0.56,989,,,99.44,176,1.19,,,,,,,,,,,,
24,Quebec,Québec,17-03-2020,,50,0,0,50,4870,,,,568,,11,28.21,0.58,0.00,0,0.00,1741,,,100.00,50,0.58,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,,0,1,0,1,161,,,,308,,0,0.00,0.19,0.00,0,0.00,0,,,100.00,1,0.19,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,17-03-2020,,2,5,0,7,295,,,,377,,1,16.67,0.90,0.00,0,0.00,152,,,100.00,7,0.90,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,,0,5,0,5,1075,,,,1098,,2,66.67,0.51,0.00,0,0.00,0,,,100.00,5,0.51,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,,1,0,0,1,75,,,,470,,0,0.00,0.63,0.00,0,0.00,69,,,100.00,1,0.63,,,,,,,,,,,,
60,Yukon,Yukon,17-03-2020,,0,0,0,0,0,,,,,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,,0,0,0,0,145,,,,3211,,0,0.00,0.00,0.00,0,,7,,,,,0.00,,,,,,,,,,,,
62,Nunavut,Nunavut,17-03-2020,,0,0,0,0,7,,,,178,,0,0.00,0.00,0.00,0,,0,,,,,0.00,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,,8,0,0,8,29,,,,,,4,100.00,,,0,0.00,0,,,100.00,8,,,,,,,,,,,,,
